,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_verifications,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3281,116635738,16/02/2017,within a few hours,63%,49%,1,1,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.14074,11.55058,Private room in rental unit,Private room,2,1.5,1.5 baths,1.0,1.0,"[""Luggage dropoff allowed"", ""Hot water kettle"", ""Coffee maker"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Backyard"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Washer"", ""Iron"", ""Freezer"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Clothing storage"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster"", ""Bikes""]",$150.00,1,1125,1.0,1125.0,t,14,44,74,74,111,38,2,12/07/2022,10/09/2024,4.79,4.77,4.48,4.93,4.79,4.86,4.67,f,1,0,1,0,4.13
3286,58122544,10/02/2016,within an hour,100%,90%,1,1,"['email', 'phone']",Tudering-Riem,48.1329036,11.696764,Entire serviced apartment,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Paid parking garage on premises"", ""Dryer"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Elevator"", ""Bed linens"", ""Hangers"", ""TV"", ""Washer"", ""Microwave"", ""Coffee maker: Nespresso"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Cooking basics"", ""Hot water"", ""Electric stove"", ""Shared backyard \u2013 Not fully fenced"", ""Essentials"", ""Refrigerator"", ""Smoke alarm"", ""Central heating"", ""Private patio or balcony"", ""Kitchen"", ""Wifi"", ""Mini fridge""]",$60.00,4,365,4.0,365.0,t,2,22,47,250,8,7,0,20/07/2023,29/07/2024,4.25,4.38,3.88,4.13,4.5,4.38,4.13,f,1,1,0,0,0.55
3289,332487055,01/02/2020,within a day,85%,30%,26,54,['phone'],Maxvorstadt,48.14254,11.5602,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Heating"", ""Dryer"", ""Dishes and silverware"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""TV"", ""Washer"", ""Iron"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Essentials"", ""Kitchen"", ""Wifi""]",$250.00,2,365,2.0,365.0,t,27,57,87,87,19,3,1,11/07/2022,03/09/2024,3.95,3.58,3.74,3.63,3.63,4.63,3.89,f,14,10,4,0,0.71
3290,466341118,27/06/2022,within an hour,100%,99%,11,11,"['email', 'phone']",Schwabing-West,48.15856,11.56624,Private room in condo,Private room,6,1.5,1.5 shared baths,3.0,5.0,"[""Luggage dropoff allowed"", ""Mosquito net"", ""Hot water kettle"", ""Single level home"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Crib"", ""Blender"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Standalone high chair - always at the listing"", ""Dedicated workspace"", ""Cleaning products"", ""Children\u2019s books and toys for ages 5-10 years old"", ""Hangers"", ""Shared patio or balcony"", ""Elevator"", ""Coffee maker: pour-over coffee"", ""Laundromat nearby"", ""Paid dryer \u2013 In building"", ""Pack \u2019n play/Travel crib - available upon request"", ""Microwave"", ""Iron"", ""EV charger"", ""Freezer"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Rice maker"", ""Clothing storage: wardrobe"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Wifi \u2013 30 Mbps"", ""Oven"", ""Shared backyard \u2013 Not fully fenced"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""First aid kit"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Paid washer \u2013 In building"", ""Board games"", ""Dining table"", ""Kitchen"", ""Body soap"", ""Toaster""]",$185.00,1,365,1.0,365.0,t,4,4,8,109,38,16,1,16/07/2022,23/09/2024,4.97,4.95,5.0,4.97,5.0,4.92,4.84,f,10,3,7,0,1.42
3291,466341118,27/06/2022,within an hour,100%,99%,11,11,"['email', 'phone']",Schwabing-West,48.15936,11.56638,Entire condo,Entire home/apt,7,1.5,1.5 baths,3.0,5.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Mosquito net"", ""Hot water kettle"", ""Single level home"", ""Children\u2019s books and toys"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Crib"", ""Blender"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Standalone high chair - always at the listing"", ""Dedicated workspace"", ""Cleaning products"", ""Elevator"", ""Hangers"", ""Coffee maker: pour-over coffee"", ""Laundromat nearby"", ""Paid dryer \u2013 In building"", ""Pack \u2019n play/Travel crib - available upon request"", ""Microwave"", ""Iron"", ""EV charger"", ""Freezer"", ""Rice maker"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Shared backyard \u2013 Not fully fenced"", ""Hair dryer"", ""Clothing storage"", ""Shower gel"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""Pets allowed"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Private patio or balcony"", ""Paid washer \u2013 In building"", ""Board games"", ""Dining table"", ""Kitchen"", ""Wifi \u2013 31 Mbps"", ""57 inch HDTV"", ""Body soap"", ""Toaster""]",$150.00,1,365,1.0,365.0,t,0,0,0,2,21,13,2,26/11/2022,05/09/2024,5.0,4.95,5.0,5.0,5.0,5.0,4.86,f,10,3,7,0,0.94
3293,96012049,20/09/2016,within a few hours,100%,88%,2,3,"['email', 'phone']",Sendling-Westpark,48.10884,11.53458,Entire condo,Entire home/apt,5,2.0,2 baths,2.0,1.0,"[""Paid washer \u2013 In unit"", ""Free parking on premises"", ""Coffee maker"", ""Single level home"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Elevator"", ""Bed linens"", ""Dedicated workspace"", ""Hangers"", ""TV"", ""Iron"", ""Free street parking"", ""Room-darkening shades"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, and 5-10 years old"", ""Cooking basics"", ""Hot water"", ""Cleaning available during stay"", ""Shared backyard \u2013 Not fully fenced"", ""Hair dryer"", ""Clothing storage"", ""First aid kit"", ""Fast wifi \u2013 97 Mbps"", ""Essentials"", ""Drying rack for clothing"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Private patio or balcony"", ""Board games"", ""Ceiling fan"", ""Kitchen"", ""Booster seat high chair - always at the listing""]",$128.00,2,1125,4.1,1125.0,t,0,0,1,148,48,17,1,24/07/2022,02/09/2024,4.9,4.85,4.85,4.9,4.96,4.69,4.77,f,2,1,1,0,1.81
3294,467385172,03/07/2022,within an hour,100%,100%,1,1,"['email', 'phone']",Schwabing-Freimann,48.16698659,11.5865029,Entire loft,Entire home/apt,4,1.5,1.5 baths,2.0,2.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Hot water kettle"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Siemens  oven"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Blender"", ""Host greets you"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Standalone high chair - always at the listing"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Sun loungers"", ""Laundromat nearby"", ""Iron"", ""Coffee maker: Nespresso"", ""Garden view"", ""Freezer"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Private entrance"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Cleaning available during stay"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Window guards"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Free dryer \u2013 In building"", ""Shampoo"", ""Books and reading material"", ""Refrigerator"", ""Smoke alarm"", ""Central heating"", ""Baking sheet"", ""Baby safety gates"", ""Sonos Bluetooth sound system"", ""Private sauna"", ""Siemens  induction stove"", ""Private patio or balcony"", ""Paid parking garage off premises"", ""Board games"", ""Dining table"", ""Private backyard \u2013 Fully fenced"", ""Clothing storage: closet and wardrobe"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$660.00,3,1125,3.0,1125.0,t,4,20,38,221,41,11,0,17/08/2022,21/08/2024,4.93,4.9,4.98,4.95,4.93,4.88,4.73,t,1,1,0,0,1.6
3295,29521212,17/03/2015,within an hour,100%,100%,1,1,"['email', 'phone']",Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0903138,11.495697,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,2.0,2.0,"[""Smoke alarm"", ""Fire extinguisher"", ""Washer"", ""Kitchen"", ""Wifi""]",$98.00,6,40,6.0,40.0,t,0,0,0,43,5,2,0,14/10/2022,16/05/2024,4.8,5.0,5.0,5.0,5.0,4.8,4.8,f,1,1,0,0,0.21
3296,186135230,24/04/2018,within an hour,100%,98%,1,1,"['email', 'phone']",Sendling,48.11732,11.54675,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Wifi \u2013 16 Mbps"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Wine glasses"", ""Hangers"", ""Laundromat nearby"", ""Iron"", ""Freezer"", ""Lock on bedroom door"", ""Clothing storage: wardrobe"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Dining table"", ""Kitchen""]",$150.00,1,1125,1.0,1125.0,t,10,40,70,160,133,53,4,09/07/2022,24/09/2024,4.9,4.93,4.89,4.9,4.92,4.89,4.74,t,1,0,1,0,4.93
3297,20255492,19/08/2014,within an hour,100%,91%,2,10,"['email', 'phone']",Maxvorstadt,48.1512804,11.5588642,Entire condo,Entire home/apt,5,1.0,1 bath,2.0,3.0,"[""Smoke alarm"", ""Dedicated workspace"", ""Outdoor furniture"", ""BBQ grill"", ""Heating"", ""Outdoor dining area"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Free washer \u2013 In building"", ""Refrigerator""]",$721.00,3,365,3.0,365.0,t,21,51,81,356,11,2,0,03/08/2022,02/10/2023,4.64,4.73,4.55,5.0,4.91,4.91,4.64,f,2,1,1,0,0.42
3299,467540148,04/07/2022,within an hour,100%,100%,1,1,"['email', 'phone']",Au-Haidhausen,48.1262657,11.5799412,Entire condo,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Coffee maker: french press"", ""Hot water kettle"", ""Single level home"", ""Courtyard view"", ""Dishes and silverware"", ""Paid parking lot off premises"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Siemens induction stove"", ""Hangers"", ""TV"", ""Washer"", ""Laundromat nearby"", ""Microwave"", ""Iron"", ""Garden view"", ""Indoor fireplace"", ""Freezer"", ""Private entrance"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Extra pillows and blankets"", ""Free dryer \u2013 In unit"", ""Essentials"", ""Dishwasher"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Dining table"", ""Kitchen"", ""Wifi""]",$143.00,2,185,2.0,185.0,t,12,16,39,71,40,17,1,09/07/2022,02/09/2024,4.8,4.85,4.83,4.78,4.85,4.88,4.63,f,1,1,0,0,1.48
3300,212456228,29/08/2018,a few days or more,33%,11%,1,1,"['email', 'phone']",Maxvorstadt,48.1460136,11.5605839,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Hot water kettle"", ""Dishes and silverware"", ""Blender"", ""Host greets you"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Hangers"", ""Washer"", ""Microwave"", ""Freezer"", ""Stainless steel stove"", ""Room-darkening shades"", ""Coffee maker: espresso machine, french press, pour-over coffee"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Free dryer \u2013 In building"", ""Shampoo"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Liebherr refrigerator"", ""Dining table"", ""Alverde & L\u2019Oreal body soap"", ""Kitchen"", ""Wifi""]",$220.00,2,90,2.0,90.0,t,26,56,86,361,13,4,0,10/07/2022,26/04/2024,4.69,4.69,4.54,4.85,4.85,4.77,4.69,f,1,1,0,0,0.48
3301,23372236,05/11/2014,within a day,80%,40%,1,2,"['email', 'phone']",Berg am Laim,48.12192,11.63128,Private room in guest suite,Private room,1,1.0,1 shared bath,1.0,2.0,"[""BBQ grill"", ""Outdoor furniture"", ""Free parking on premises"", ""Coffee maker"", ""Dishes and silverware"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""TV"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Private backyard \u2013 Not fully fenced"", ""Hot water"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Fire pit"", ""Conditioner"", ""Essentials"", ""Free washer"", ""Shampoo"", ""Books and reading material"", ""Smoke alarm"", ""Piano"", ""Barbecue utensils"", ""Private patio or balcony"", ""Board games"", ""Outdoor dining area"", ""Hammock"", ""Kitchen"", ""Wifi"", ""Body soap""]",$110.00,3,1125,3.0,1125.0,t,14,39,66,66,3,2,0,28/10/2022,07/08/2024,4.67,4.67,4.67,4.67,5.0,4.67,4.67,f,1,0,1,0,0.13
3303,120084454,10/03/2017,within an hour,100%,94%,2,2,"['email', 'phone']",Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09515726,11.52135206,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Heating"", ""Hot water kettle"", ""Single level home"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Ethernet connection"", ""Laundromat nearby"", ""Microwave"", ""Freezer"", ""Free street parking"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Clothing storage"", ""Shower gel"", ""Essentials"", ""TV with Chromecast"", ""Refrigerator"", ""Bidet"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap""]",$144.00,3,50,3.0,1125.0,t,18,48,78,83,40,8,1,17/07/2022,24/09/2024,4.0,4.58,3.98,4.88,4.78,4.6,4.1,f,2,2,0,0,1.5
3306,21473779,18/09/2014,a few days or more,33%,40%,1,1,"['email', 'phone']",Au-Haidhausen,48.123,11.57977,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Hot water kettle"", ""Dishes and silverware"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""TV"", ""Washer"", ""Laundromat nearby"", ""Microwave"", ""Iron"", ""Coffee maker: Nespresso"", ""Freezer"", ""Room-darkening shades"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Electric stove"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""City skyline view"", ""Conditioner"", ""Essentials"", ""Dishwasher"", ""Clothing storage: closet"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Paid parking on premises"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$350.00,5,12,5.0,12.0,t,26,56,86,86,3,2,0,29/10/2022,27/07/2024,4.67,4.33,4.67,4.67,5.0,5.0,4.67,f,1,1,0,0,0.13
3310,334435976,08/02/2020,within an hour,100%,54%,1,1,"['email', 'phone']",Bogenhausen,48.15176098,11.6131017,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Fast wifi \u2013 109 Mbps"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Coffee maker"", ""Single level home"", ""Dishes and silverware"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Cleaning products"", ""TV"", ""Washer"", ""Game console: PS4"", ""Free street parking"", ""Lock on bedroom door"", ""Cooking basics"", ""Hot water"", ""Alexa sound system"", ""Oven"", ""Shared backyard \u2013 Not fully fenced"", ""Hair dryer"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Dining table"", ""Kitchen"", ""Exterior security cameras on property"", ""Toaster""]",$100.00,1,1125,1.0,1125.0,t,20,50,80,80,15,7,0,31/10/2022,20/06/2024,4.93,5.0,5.0,4.93,4.93,4.87,4.8,f,1,0,1,0,0.65
3312,143711447,01/08/2017,within a day,100%,29%,2,2,"['email', 'phone']",Neuhausen-Nymphenburg,48.15647044,11.5467259,Private room in rental unit,Private room,3,1.0,1 shared bath,1.0,1.0,"[""Hot water kettle"", ""Coffee maker"", ""Dishes and silverware"", ""Wine glasses"", ""Bed linens"", ""Shared patio or balcony"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Washer"", ""Radiant heating"", ""Microwave"", ""Freezer"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Electric stove"", ""Hair dryer"", ""40 inch HDTV with Netflix"", ""Shower gel"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoking allowed"", ""Smoke alarm"", ""Dining table"", ""Kitchen"", ""Clothing storage: wardrobe and dresser"", ""Wifi"", ""Body soap"", ""Toaster""]",$175.00,1,50,1.0,50.0,t,24,54,84,84,16,4,0,23/09/2022,18/08/2024,4.88,4.94,4.81,4.94,4.88,4.88,4.31,f,2,1,1,0,0.65
3314,17389104,29/06/2014,within a day,80%,26%,1,2,"['email', 'phone']",Neuhausen-Nymphenburg,48.14972,11.53003,Entire rental unit,Entire home/apt,2,1.5,1.5 baths,1.0,1.0,"[""Smoke alarm"", ""Dedicated workspace"", ""BBQ grill"", ""TV"", ""Carbon monoxide alarm"", ""Washer"", ""First aid kit"", ""Outdoor dining area"", ""Kitchen"", ""Wifi""]",$145.00,4,21,4.0,21.0,t,10,10,10,10,7,3,1,25/07/2022,27/08/2024,5.0,5.0,5.0,4.86,5.0,5.0,4.86,f,1,1,0,0,0.26
3315,468024438,06/07/2022,within a day,80%,53%,1,1,['phone'],Ludwigsvorstadt-Isarvorstadt,48.1224,11.55459,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Lockbox"", ""Self check-in"", ""Kitchen"", ""Wifi""]",$120.00,1,14,1.0,14.0,t,17,24,32,32,3,3,0,17/08/2024,25/08/2024,4.67,4.67,5.0,4.33,5.0,4.67,4.0,f,1,1,0,0,2.25
3316,426328962,07/10/2021,within an hour,100%,82%,2,2,"['email', 'phone']",Sendling,48.12078,11.54324,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,2.0,"[""Luggage dropoff allowed"", ""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Dishes and silverware"", ""Blender"", ""Portable fans"", ""Bed linens"", ""Wifi \u2013 29 Mbps"", ""Dedicated workspace"", ""Hangers"", ""Laundromat nearby"", ""Microwave"", ""Iron"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Washer \u2013\u00a0In unit"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Body soap"", ""Toaster""]",$68.00,2,30,2.0,30.0,t,3,22,47,60,91,49,4,26/09/2022,04/09/2024,4.91,4.98,4.9,4.91,4.93,4.92,4.77,f,2,1,1,0,3.73
3317,130780414,17/05/2017,within an hour,100%,100%,1,1,"['email', 'phone']",Aubing-Lochhausen-Langwied,48.13779,11.42804,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Hot water kettle"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Hangers"", ""Microwave"", ""Iron"", ""Coffee maker: Nespresso"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Clothing storage: wardrobe"", ""55 inch HDTV with Fire TV"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Dishwasher"", ""Free dryer \u2013 In building"", ""Refrigerator"", ""Smoke alarm"", ""Central heating"", ""Private patio or balcony"", ""Dining table"", ""Bosch oven"", ""Kitchen"", ""Wifi""]",$143.00,2,10,2.0,1125.0,t,1,1,1,1,13,8,1,16/09/2022,18/09/2024,4.85,5.0,5.0,5.0,4.92,4.69,4.92,t,1,1,0,0,0.53
3318,417933768,11/08/2021,within an hour,100%,92%,5,6,"['email', 'phone']",Milbertshofen-Am Hart,48.17632,11.56565,Private room in rental unit,Private room,2,1.5,1.5 shared baths,1.0,1.0,"[""Luggage dropoff allowed"", ""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Lockbox"", ""Park view"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Backyard"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Paid dryer"", ""Dedicated workspace"", ""Hangers"", ""Laundromat nearby"", ""Exercise equipment"", ""Body soap"", ""Microwave"", ""EV charger"", ""Iron"", ""Freezer"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Paid parking off premises"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Clothing storage"", ""Extra pillows and blankets"", ""32 inch HDTV with Fire TV, DVD player"", ""City skyline view"", ""Essentials"", ""Dishwasher"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Private patio or balcony"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Paid washer""]",$144.00,2,20,2.0,1125.0,t,5,5,5,5,18,14,0,26/09/2022,03/08/2024,4.94,4.94,4.94,5.0,5.0,4.94,4.72,t,5,1,4,0,0.74
3319,164225004,26/12/2017,within a few hours,98%,97%,15,16,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.1369,11.5647,Entire vacation home,Entire home/apt,5,1.0,1 bath,1.0,4.0,"[""Hot water kettle"", ""Stainless steel oven"", ""Single level home"", ""Duschdas body soap"", ""Courtyard view"", ""Self check-in"", ""Dishes and silverware"", ""Crib"", ""Elevator"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Standalone high chair"", ""Coffee maker: pour-over coffee"", ""Paid dryer \u2013 In building"", ""Microwave"", ""Iron"", ""33 inch HDTV with standard cable"", ""Building staff"", ""Freezer"", ""Room-darkening shades"", ""Baby bath"", ""Clothing storage: wardrobe"", ""Bathtub"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Long term stays allowed"", ""Duschdas shampoo"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Paid parking garage off premises"", ""Paid washer \u2013 In building"", ""Dining table"", ""Keine Angaben stove"", ""Keine  refrigerator"", ""Kitchen"", ""Wifi"", ""Exterior security cameras on property"", ""Toaster""]",$224.00,2,365,2.0,365.0,t,21,48,78,253,64,30,2,04/08/2022,22/09/2024,4.31,4.56,4.33,4.34,4.47,4.38,4.31,f,15,15,0,0,2.45
3322,136740337,24/06/2017,within a few hours,86%,63%,2,2,"['email', 'phone']",Tudering-Riem,48.1295217,11.6708279,Entire home,Entire home/apt,4,1.5,1.5 baths,3.0,3.0,"[""Outdoor furniture"", ""Hot water kettle"", ""Free parking on premises"", ""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Cleaning products"", ""Garden view"", ""Freezer"", ""Free street parking"", ""Private entrance"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Refrigerator"", ""Books and reading material"", ""Smoke alarm"", ""Central heating"", ""Private patio or balcony"", ""Outdoor dining area"", ""Kitchen"", ""Wifi""]",$400.00,2,365,2.0,365.0,t,2,2,2,2,30,18,0,26/10/2022,10/08/2024,4.97,4.93,4.9,4.97,4.97,4.93,4.77,f,1,1,0,0,1.28
